id,vadt,AADT,FacilityType,flag
12634-13130,17608.92821,25694,Interstate,N
12635-12012,17032.5359,28195,Interstate,N
12642-12606,11758.96311,6700,Interstate,N
12644-12828,76896.32709,88700,Interstate,N
12654-12625,3585.975378,4400,Interstate,N
12654-21628,83783.53703,97900,Interstate,N
12658-24005,9012.612616,6585,Interstate,N
12660-23557,14449.74113,18702,Interstate,N
12664-12635,3538.170581,3054,Interstate,N
12666-21130,32542.42811,18702,Interstate,N
12672-12827,80832.1284,94900,Interstate,N
12688-21836,8954.173441,13790,Interstate,N
12721-21837,9071.779326,12066,Interstate,N
12745-12775,1607.595247,749,Interstate,N
12746-11847,48740.24519,77154,Interstate,N
12762-12980,52613.35852,67965,Interstate,N
12775-12745,1363.565389,1500,Interstate,N
12779-12828,3720.335635,4020,Interstate,N
12808-21135,53553.9437,72400,Interstate,N
12816-12654,87369.51037,102300,Interstate,N
12816-12800,3116.854663,2400,Interstate,N
12827-12872,5190.803188,5628,Interstate,N
12827-12978,75641.32494,89300,Interstate,N
12828-12905,80616.66235,92300,Interstate,N
12840-20282,51368.1033,69700,Interstate,N
12840-21128,11909.92261,11356,Interstate,N
12850-21070,79611.2868,99500,Interstate,N
12876-12850,3442.870943,8400,Interstate,N
12905-12927,7178.920267,8400,Interstate,N
12905-21641,73437.74404,83900,Interstate,N
12932-20612,2983.11893,6492,Interstate,N
12932-20613,31468.6629,27537,Interstate,N
12942-21142,21628.45844,20834,Interstate,N
12946-20350,20408.03905,20301,Interstate,N
12954-13003,1808.754125,2800,Interstate,N
12955-21638,9258.818297,12100,Interstate,N
12977-20609,1683.432594,4942,Interstate,N
12978-13013,9301.855669,10100,Interstate,N
12978-21065,66339.46943,79200,Interstate,N
12979-12993,7423.354692,6008,Interstate,N
12980-12946,5013.477894,2741,Interstate,N
12980-20348,47599.88125,67965,Interstate,N
12989-12977,3681.320251,1647,Interstate,N
12989-20609,31327.49504,28944,Interstate,N
12993-20356,44883.76145,55456,Interstate,N
12996-13006,8262.268421,7289,Interstate,N
12996-20352,35738.20692,55456,Interstate,N
12997-12761,48740.24519,67965,Interstate,N
13003-13102,75246.49721,88299,Interstate,N
13010-12955,5227.655198,3200,Interstate,N
13010-21638,81227.54887,92600,Interstate,N
13013-21055,10810.31349,10900,Interstate,N
13013-21065,11176.61315,13900,Interstate,N
13019-12997,9749.569588,15563,Interstate,N
13019-20349,26432.8909,20301,Interstate,N
13019-22305,27007.7985,20301,Interstate,N
13029-13076,5335.105648,3585,Interstate,N
13033-12840,63278.02654,76100,Interstate,N
13045-13029,4963.288286,5330,Interstate,N
13045-13076,28718.90838,24321,Interstate,N
13050-13102,8320.068884,1400,Interstate,N
13056-12989,35008.81543,30652,Interstate,N
13061-13101,8662.34515,12964,Interstate,N
13062-13033,7774.709539,9700,Interstate,N
13064-13013,9944.020556,12500,Interstate,N
13064-21055,65358.10317,80200,Interstate,N
13076-13130,34054.01378,33064,Interstate,N
