root,node,count,Category,color
West Chicago,Lake,233684.2756,Survey,#848bd7
West Chicago,McHenry,270027.5768,Survey,#848bd8
West Chicago,North Chicago,5187599.501,Survey,#848bd9
West Chicago,North Cook,545707.4547,Survey,#848bd10
West Chicago,South Chicago,3070668.579,Survey,#848bd11
West Chicago,South Cook,1556877.155,Survey,#848bd12
West Chicago,West Chicago,13059377.5,Survey,#848bd13
West Chicago,West Cook,2823599.173,Survey,#848bd14
West Chicago,Will,1181325.512,Survey,#848bd15
West Chicago,DuPage,23075,Model,#848bd16
West Chicago,IL,1245,Model,#848bd17
West Chicago,IN,5710,Model,#848bd18
West Chicago,Kane,2240,Model,#848bd19
West Chicago,Kendall,540,Model,#848bd20
West Chicago,CBD,117960,Model,#848bd21
West Chicago,Lake,3775,Model,#848bd22
West Chicago,McHenry,655,Model,#848bd23
West Chicago,North Chicago,356305,Model,#848bd24
West Chicago,North Cook,24910,Model,#848bd25
West Chicago,South Chicago,183825,Model,#848bd26
West Chicago,South Cook,46485,Model,#848bd27
West Chicago,WI,425,Model,#848bd28
West Chicago,West Chicago,646070,Model,#848bd29
West Chicago,West Cook,149970,Model,#848bd30
West Chicago,Will,8075,Model,#848bd31
West Cook,DuPage,9278667.045,Survey,#b44931
West Cook,IL,923235.0748,Survey,#b44932
West Cook,IN,22222.48563,Survey,#b44933
West Cook,Kane,4220819.569,Survey,#b44934
West Cook,Kendall,245155.7656,Survey,#b44935
West Cook,CBD,286102.5425,Survey,#b44936
West Cook,Lake,1931509.407,Survey,#b44937
West Cook,McHenry,2875137.477,Survey,#b44938
West Cook,North Chicago,2825231.771,Survey,#b44939
West Cook,North Cook,6218398.525,Survey,#b44940
West Cook,South Chicago,779427.5068,Survey,#b44941
West Cook,South Cook,6312958.712,Survey,#b44942
West Cook,West Chicago,2906548.11,Survey,#b44943
West Cook,West Cook,64538775.91,Survey,#b44944
West Cook,Will,3392946.219,Survey,#b44945
West Cook,DuPage,315365,Model,#b44946
West Cook,IL,5240,Model,#b44947
West Cook,IN,3100,Model,#b44948
West Cook,Kane,74525,Model,#b44949
West Cook,Kendall,2875,Model,#b44950
West Cook,CBD,40575,Model,#b44951
West Cook,Lake,17965,Model,#b44952
West Cook,McHenry,13950,Model,#b44953
West Cook,North Chicago,178040,Model,#b44954
West Cook,North Cook,183400,Model,#b44955
West Cook,South Chicago,40415,Model,#b44956
West Cook,South Cook,86885,Model,#b44957
West Cook,WI,1165,Model,#b44958
West Cook,West Chicago,150510,Model,#b44959
West Cook,West Cook,1330010,Model,#b44960
West Cook,Will,40610,Model,#b44961
WI,DuPage,0,Survey,#c04b6d
