OBJECTID,subzone09,AREANAME,Shape_Length,Shape_Area
14869,729.000000000000000,South Chicago,0.034029739019416,0.000070821528661
14870,726.000000000000000,South Chicago,0.033943357985347,0.000070525423306
14871,725.000000000000000,South Chicago,0.033955826820534,0.000070585901342
14872,722.000000000000000,South Chicago,0.033896843348678,0.000070367579347
14873,721.000000000000000,South Chicago,0.033955115524928,0.000070559947241
14874,615.000000000000000,South Chicago,0.034094552339014,0.000071074547063
14875,614.000000000000000,South Chicago,0.034110824517928,0.000071154844815
14876,611.000000000000000,South Chicago,0.034135971084644,0.000071259266361
14877,610.000000000000000,South Chicago,0.034142882484196,0.000071293910916
14878,607.000000000000000,South Chicago,0.034135771747343,0.000071298673307
14879,606.000000000000000,South Chicago,0.034189359044515,0.000071556183908
14880,2703.000000000000000,South Cook,0.033987456785444,0.000070857989651
14881,743.000000000000000,South Chicago,0.034207073460439,0.000071527710167
14882,740.000000000000000,South Chicago,0.033988148261830,0.000070733801875
14883,739.000000000000000,South Chicago,0.034018446653725,0.000070880956404
14884,735.000000000000000,South Chicago,0.033951496590800,0.000070621428703
14885,736.000000000000000,South Chicago,0.033883426941558,0.000070293601547
14886,732.000000000000000,South Chicago,0.034001420934109,0.000070692312251
14887,731.000000000000000,South Chicago,0.034022707999561,0.000070795685680
14888,728.000000000000000,South Chicago,0.033937215890022,0.000070504117016
14889,727.000000000000000,South Chicago,0.033949007146210,0.000070559898605
14890,724.000000000000000,South Chicago,0.033894508383269,0.000070355707716
14891,723.000000000000000,South Chicago,0.033930328733006,0.000070469727086
14892,617.000000000000000,South Chicago,0.034112975418286,0.000071143732569
14893,616.000000000000000,South Chicago,0.034127738899403,0.000071216260972
14894,613.000000000000000,South Chicago,0.034125020667546,0.000071219839406
14895,612.000000000000000,South Chicago,0.034131469401009,0.000071252743429
14896,609.000000000000000,South Chicago,0.034068555770154,0.000071060736515
14897,608.000000000000000,South Chicago,0.034121338267540,0.000071312307452
14898,2705.000000000000000,South Cook,0.034070470301254,0.000071160492764
14899,765.000000000000000,South Chicago,0.034130880037252,0.000071237666186
14900,762.000000000000000,South Chicago,0.033994462896791,0.000070778245877
14901,761.000000000000000,South Chicago,0.034024792224332,0.000070926563471
