cat,subgroup,value,xaxis,hours
discretionary,Model-Depart,76635,26,5:00 PM
escort,Model-Depart,58800,26,5:00 PM
maintenance,Model-Depart,76685,26,5:00 PM
school,Model-Depart,1190,26,5:00 PM
university,Model-Depart,2620,26,5:00 PM
work,Model-Depart,2245,26,5:00 PM
work-based,Model-Depart,450,26,5:00 PM
discretionary,Model-Depart,107825,27,5:30 PM
escort,Model-Depart,60215,27,5:30 PM
maintenance,Model-Depart,85190,27,5:30 PM
school,Model-Depart,1010,27,5:30 PM
university,Model-Depart,2720,27,5:30 PM
work,Model-Depart,1510,27,5:30 PM
work-based,Model-Depart,255,27,5:30 PM
discretionary,Model-Depart,108045,28,6:00 PM
escort,Model-Depart,34375,28,6:00 PM
maintenance,Model-Depart,79320,28,6:00 PM
school,Model-Depart,685,28,6:00 PM
university,Model-Depart,2585,28,6:00 PM
work,Model-Depart,970,28,6:00 PM
work-based,Model-Depart,160,28,6:00 PM
discretionary,Model-Depart,159235,29,6:30 PM
escort,Model-Depart,29425,29,6:30 PM
maintenance,Model-Depart,80530,29,6:30 PM
school,Model-Depart,545,29,6:30 PM
university,Model-Depart,2815,29,6:30 PM
work,Model-Depart,625,29,6:30 PM
work-based,Model-Depart,60,29,6:30 PM
discretionary,Model-Depart,96370,30,7:00 PM
escort,Model-Depart,25935,30,7:00 PM
maintenance,Model-Depart,62000,30,7:00 PM
school,Model-Depart,530,30,7:00 PM
university,Model-Depart,2345,30,7:00 PM
work,Model-Depart,360,30,7:00 PM
work-based,Model-Depart,30,30,7:00 PM
discretionary,Model-Depart,48675,31,7:30 PM
escort,Model-Depart,21180,31,7:30 PM
maintenance,Model-Depart,33955,31,7:30 PM
school,Model-Depart,420,31,7:30 PM
university,Model-Depart,2365,31,7:30 PM
work,Model-Depart,250,31,7:30 PM
work-based,Model-Depart,30,31,7:30 PM
discretionary,Model-Depart,35960,32,8:00 PM
escort,Model-Depart,18250,32,8:00 PM
maintenance,Model-Depart,24345,32,8:00 PM
school,Model-Depart,290,32,8:00 PM
university,Model-Depart,1895,32,8:00 PM
work,Model-Depart,200,32,8:00 PM
work-based,Model-Depart,65,32,8:00 PM
discretionary,Model-Depart,25390,33,8:30 PM
escort,Model-Depart,15650,33,8:30 PM
maintenance,Model-Depart,17295,33,8:30 PM
school,Model-Depart,250,33,8:30 PM
university,Model-Depart,1520,33,8:30 PM
work,Model-Depart,105,33,8:30 PM
work-based,Model-Depart,30,33,8:30 PM
discretionary,Model-Depart,17125,34,9:00 PM
escort,Model-Depart,13460,34,9:00 PM
maintenance,Model-Depart,12735,34,9:00 PM
school,Model-Depart,175,34,9:00 PM
university,Model-Depart,1235,34,9:00 PM
work,Model-Depart,120,34,9:00 PM
work-based,Model-Depart,30,34,9:00 PM
discretionary,Model-Depart,10285,35,9:30 PM
escort,Model-Depart,11175,35,9:30 PM
maintenance,Model-Depart,9050,35,9:30 PM
school,Model-Depart,270,35,9:30 PM
university,Model-Depart,945,35,9:30 PM
work,Model-Depart,95,35,9:30 PM
work-based,Model-Depart,15,35,9:30 PM
discretionary,Model-Depart,9745,36,10:00 PM
escort,Model-Depart,9820,36,10:00 PM
maintenance,Model-Depart,5850,36,10:00 PM
school,Model-Depart,130,36,10:00 PM
university,Model-Depart,605,36,10:00 PM
work,Model-Depart,45,36,10:00 PM
work-based,Model-Depart,15,36,10:00 PM
discretionary,Model-Depart,7375,37,10:30 PM
escort,Model-Depart,8320,37,10:30 PM
maintenance,Model-Depart,3905,37,10:30 PM
school,Model-Depart,195,37,10:30 PM
university,Model-Depart,340,37,10:30 PM
work,Model-Depart,15,37,10:30 PM
work-based,Model-Depart,35,37,10:30 PM
discretionary,Model-Depart,4335,38,11:00 PM
escort,Model-Depart,7055,38,11:00 PM
maintenance,Model-Depart,2240,38,11:00 PM
school,Model-Depart,80,38,11:00 PM
university,Model-Depart,190,38,11:00 PM
work,Model-Depart,55,38,11:00 PM
work-based,Model-Depart,15,38,11:00 PM
discretionary,Model-Depart,2265,39,11:30 PM
escort,Model-Depart,5330,39,11:30 PM
maintenance,Model-Depart,1275,39,11:30 PM
school,Model-Depart,85,39,11:30 PM
university,Model-Depart,195,39,11:30 PM
work,Model-Depart,5,39,11:30 PM
work-based,Model-Depart,10,39,11:30 PM
discretionary,Model-Depart,2290,40,12:00 PM
escort,Model-Depart,2905,40,12:00 PM
maintenance,Model-Depart,540,40,12:00 PM
school,Model-Depart,55,40,12:00 PM
university,Model-Depart,400,40,12:00 PM
work,Model-Depart,10,40,12:00 PM
work-based,Model-Depart,280,40,12:00 PM
all,Model-Depart,152615,1,3:00 AM
all,Model-Depart,136030,2,5:00 AM
all,Model-Depart,147830,3,5:30 AM
all,Model-Depart,454620,4,6:00 AM
all,Model-Depart,745315,5,6:30 AM
all,Model-Depart,1482240,6,7:00 AM
all,Model-Depart,1527715,7,7:30 AM
all,Model-Depart,633470,8,8:00 AM
all,Model-Depart,451035,9,8:30 AM
all,Model-Depart,175000,10,9:00 AM
all,Model-Depart,146695,11,9:30 AM
all,Model-Depart,136325,12,10:00 AM
all,Model-Depart,120560,13,10:30 AM
all,Model-Depart,147260,14,11:00 AM
all,Model-Depart,185715,15,11:30 AM
all,Model-Depart,183300,16,12:00 PM
all,Model-Depart,123540,17,12:30 PM
all,Model-Depart,109190,18,1:00 PM
all,Model-Depart,107545,19,1:30 PM
all,Model-Depart,114535,20,2:00 PM
all,Model-Depart,121210,21,2:30 PM
